Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7,Opp,Result,Status
1.0,2024.0,2024-09-08,1.0,1.0,,WAS,@,TAM,L 20-37,Did Not Play
2.0,2024.0,2024-09-15,2.0,2.0,,WAS,,NYG,W 21-18,Did Not Play
3.0,2024.0,2024-09-23,3.0,3.0,,WAS,@,CIN,W 38-33,Did Not Play
4.0,2024.0,2024-09-29,4.0,4.0,,WAS,@,ARI,W 42-14,Did Not Play
5.0,2024.0,2024-10-06,5.0,5.0,,WAS,,CLE,W 34-13,Did Not Play
6.0,2024.0,2024-10-13,6.0,6.0,,WAS,@,BAL,L 23-30,Did Not Play
7.0,2024.0,2024-10-20,7.0,7.0,,WAS,,CAR,W 40-7,Did Not Play
8.0,2024.0,2024-10-27,8.0,8.0,,WAS,,CHI,W 18-15,Did Not Play
9.0,2024.0,2024-11-03,9.0,9.0,,WAS,@,NYG,W 27-22,Did Not Play
10.0,2024.0,2024-11-10,10.0,10.0,,WAS,,PIT,L 27-28,Did Not Play
11.0,2024.0,2024-11-14,11.0,11.0,,WAS,@,PHI,L 18-26,Did Not Play
