Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Num,Pct,Num,Pct,Num,Pct,Status
1.0,2024.0,2024-09-08,1.0,1.0,,SEA,,DEN,W 26-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2.0,2024.0,2024-09-15,2.0,2.0,,SEA,@,NWE,W 23-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3.0,2024.0,2024-09-22,3.0,3.0,,SEA,,MIA,W 24-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4.0,2024.0,2024-09-30,4.0,4.0,,SEA,@,DET,L 29-42,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5.0,2024.0,2024-10-06,5.0,5.0,,SEA,,NYG,L 20-29,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6.0,2024.0,2024-10-10,6.0,6.0,25.053,SEA,,SFO,L 24-36,,0,0%,0,0%,4,13%,
7.0,2024.0,2024-10-20,7.0,7.0,25.063,SEA,@,ATL,W 34-14,*,60,100%,0,0%,6,23%,
8.0,2024.0,2024-10-27,8.0,8.0,25.07,SEA,,BUF,L 10-31,*,51,100%,0,0%,2,9%,
9.0,2024.0,2024-11-03,9.0,9.0,25.077,SEA,,LAR,L 20-26,,63,79%,0,0%,3,9%,
10.0,2024.0,2024-11-17,10.0,11.0,25.091,SEA,@,SFO,W 20-17,,18,30%,0,0%,4,19%,
11.0,2024.0,2024-11-24,11.0,12.0,25.098,SEA,,ARI,W 16-6,,0,0%,0,0%,3,12%,
