Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2014,2014-09-07,1,1,21.014,JAX,@,PHI,L 17-34,,3,1,0,0.00,0,33.3%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,27%,0,0%,0,0%,
2,2014,2014-09-14,2,2,21.021,JAX,@,WAS,L 10-41,,6,4,75,18.75,0,66.7%,12.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,60%,0,0%,0,0%,
3,2014,2014-09-21,3,3,21.028,JAX,,IND,L 17-44,*,10,7,79,11.29,0,70.0%,7.90,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,
4,2014,2014-09-28,4,4,21.035,JAX,@,SDG,L 14-33,*,7,5,38,7.60,0,71.4%,5.43,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,80%,0,0%,0,0%,
5,2014,2014-10-05,5,5,21.042,JAX,,PIT,L 9-17,*,11,5,51,10.20,0,45.5%,4.64,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,0,0%,
6,2014,2014-10-12,6,6,21.049,JAX,@,TEN,L 14-16,*,9,8,68,8.50,0,88.9%,7.56,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,91%,0,0%,1,4%,
7,2014,2014-10-19,7,7,21.056,JAX,,CLE,W 24-6,*,7,4,60,15.00,1,57.1%,8.57,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,66,90%,0,0%,0,0%,
8,2014,2014-10-26,8,8,21.063,JAX,,MIA,L 13-27,*,10,5,82,16.40,1,50.0%,8.20,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,90%,0,0%,1,3%,
9,2014,2014-11-02,9,9,21.070,JAX,@,CIN,L 23-33,*,8,4,35,8.75,0,50.0%,4.38,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,87%,0,0%,0,0%,
10,2014,2014-11-09,10,10,21.077,JAX,,DAL,L 17-31,*,10,5,60,12.00,0,50.0%,6.00,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,65,92%,0,0%,1,3%,
11,2014,2014-11-23,,12,,JAX,@,IND,L 3-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,2014,2014-11-30,,13,,JAX,,NYG,W 25-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,2014,2014-12-07,,14,,JAX,,HOU,L 13-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,2014,2014-12-14,,15,,JAX,@,BAL,L 12-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,2014,2014-12-18,,16,,JAX,,TEN,W 21-13,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,2014,2014-12-28,,17,,JAX,@,HOU,L 17-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
17,2015,2015-09-13,1,1,22.020,JAX,,CAR,L 9-20,*,6,1,27,27.00,0,16.7%,4.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,90%,0,0%,0,0%,
18,2015,2015-09-20,2,2,22.027,JAX,,MIA,W 23-20,*,12,6,155,25.83,2,50.0%,12.92,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,84%,0,0%,0,0%,
19,2015,2015-09-27,3,3,22.034,JAX,@,NWE,L 17-51,*,9,4,68,17.00,0,44.4%,7.56,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,96%,0,0%,0,0%,
20,2015,2015-10-04,4,4,22.041,JAX,@,IND,L 13-16,*,12,4,80,20.00,0,33.3%,6.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,99%,0,0%,0,0%,
21,2015,2015-10-11,5,5,22.048,JAX,@,TAM,L 31-38,*,9,7,72,10.29,2,77.8%,8.00,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,56,95%,0,0%,1,3%,
22,2015,2015-10-18,6,6,22.055,JAX,,HOU,L 20-31,*,12,6,86,14.33,1,50.0%,7.17,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,56,69%,0,0%,0,0%,
23,2015,2015-10-25,7,7,22.062,JAX,,BUF,W 34-31,*,9,6,98,16.33,1,66.7%,10.89,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,58,87%,0,0%,1,3%,
24,2015,2015-11-08,8,9,22.076,JAX,@,NYJ,L 23-28,*,11,6,121,20.17,0,54.5%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,98%,0,0%,0,0%,
25,2015,2015-11-15,9,10,22.083,JAX,@,BAL,W 22-20,*,11,5,51,10.20,1,45.5%,4.64,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,74,100%,0,0%,0,0%,
26,2015,2015-11-19,10,11,22.087,JAX,,TEN,W 19-13,*,7,5,113,22.60,0,71.4%,16.14,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,98%,0,0%,0,0%,
27,2015,2015-11-29,11,12,22.097,JAX,,SDG,L 25-31,*,11,5,56,11.20,1,45.5%,5.09,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,97%,0,0%,1,3%,
28,2015,2015-12-06,12,13,22.104,JAX,@,TEN,L 39-42,*,15,10,153,15.30,3,66.7%,10.20,0,0,,0,,3,18,0.0,0,0,0,,,0,0,0,0,0,0,56,93%,0,0%,0,0%,
29,2015,2015-12-13,13,14,22.111,JAX,,IND,W 51-16,*,4,1,4,4.00,1,25.0%,1.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,94%,0,0%,0,0%,
30,2015,2015-12-20,14,15,22.118,JAX,,ATL,L 17-23,*,5,3,57,19.00,1,60.0%,11.40,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,60,97%,0,0%,0,0%,
31,2015,2015-12-27,15,16,22.125,JAX,@,NOR,L 27-38,*,9,6,151,25.17,1,66.7%,16.78,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,96%,0,0%,1,4%,
32,2015,2016-01-03,16,17,22.132,JAX,@,HOU,L 6-30,*,9,5,108,21.60,0,55.6%,12.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,
33,2016,2016-09-11,1,1,23.018,JAX,,GNB,L 23-27,*,15,6,72,12.00,0,40.0%,4.80,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,68,94%,0,0%,0,0%,
34,2016,2016-09-18,2,2,23.025,JAX,@,SDG,L 14-38,*,5,3,54,18.00,0,60.0%,10.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,86%,0,0%,1,4%,
35,2016,2016-09-25,3,3,23.032,JAX,,BAL,L 17-19,*,11,7,57,8.14,2,63.6%,5.18,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,64,97%,0,0%,0,0%,
36,2016,2016-10-02,4,4,23.039,JAX,,IND,W 30-27,*,10,5,55,11.00,1,50.0%,5.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,97%,0,0%,1,3%,
37,2016,2016-10-16,5,6,23.053,JAX,@,CHI,W 17-16,*,6,3,49,16.33,0,50.0%,8.17,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,95%,0,0%,0,0%,
38,2016,2016-10-23,6,7,23.060,JAX,,OAK,L 16-33,*,8,2,9,4.50,0,25.0%,1.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,96%,0,0%,0,0%,
39,2016,2016-10-27,7,8,23.064,JAX,@,TEN,L 22-36,*,15,6,70,11.67,0,40.0%,4.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,94%,0,0%,0,0%,
40,2016,2016-11-06,8,9,23.074,JAX,@,KAN,L 14-19,*,12,7,76,10.86,1,58.3%,6.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,73,95%,0,0%,0,0%,
41,2016,2016-11-13,9,10,23.081,JAX,,HOU,L 21-24,*,13,9,107,11.89,1,69.2%,8.23,0,0,,0,1,1,8,0.0,0,0,0,,,0,0,0,0,0,0,70,90%,0,0%,0,0%,
42,2016,2016-11-20,10,11,23.088,JAX,@,DET,L 19-26,*,7,3,18,6.00,1,42.9%,2.57,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,0,0%,
43,2016,2016-11-27,11,12,23.095,JAX,@,BUF,L 21-28,*,4,2,24,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,97%,0,0%,0,0%,
44,2016,2016-12-04,12,13,23.102,JAX,,DEN,L 10-20,*,10,3,31,10.33,0,30.0%,3.10,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,83,99%,0,0%,0,0%,
45,2016,2016-12-11,13,14,23.109,JAX,,MIN,L 16-25,*,3,1,17,17.00,0,33.3%,5.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,94%,0,0%,0,0%,
46,2016,2016-12-18,14,15,23.116,JAX,@,HOU,L 20-21,*,8,2,15,7.50,0,25.0%,1.88,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,96%,0,0%,0,0%,
47,2016,2016-12-24,15,16,23.122,JAX,,TEN,W 38-17,*,12,9,147,16.33,0,75.0%,12.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,86%,0,0%,0,0%,
48,2016,2017-01-01,16,17,23.130,JAX,@,IND,L 20-24,*,12,5,82,16.40,0,41.7%,6.83,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,96%,0,0%,0,0%,
49,2017,2017-09-10,1,1,24.017,JAX,@,HOU,W 29-7,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,5%,0,0%,0,0%,
50,2017,2017-09-17,,2,,JAX,,TEN,L 16-37,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
51,2017,2017-09-24,,3,,JAX,,BAL,W 44-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
52,2017,2017-10-01,,4,,JAX,@,NYJ,L 20-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
53,2017,2017-10-08,,5,,JAX,@,PIT,W 30-9,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
54,2017,2017-10-15,,6,,JAX,,LAR,L 17-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
55,2017,2017-10-22,,7,,JAX,@,IND,W 27-0,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
56,2017,2017-11-05,,9,,JAX,,CIN,W 23-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
57,2017,2017-11-12,,10,,JAX,,LAC,W 20-17,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
58,2017,2017-11-19,,11,,JAX,@,CLE,W 19-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
59,2017,2017-11-26,,12,,JAX,@,ARI,L 24-27,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
60,2017,2017-12-03,,13,,JAX,,IND,W 30-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
61,2017,2017-12-10,,14,,JAX,,SEA,W 30-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
62,2017,2017-12-17,,15,,JAX,,HOU,W 45-7,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
63,2017,2017-12-24,,16,,JAX,@,SFO,L 33-44,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
64,2017,2017-12-31,,17,,JAX,@,TEN,L 10-15,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
65,2018,2018-09-09,1,1,25.016,CHI,@,GNB,L 23-24,,7,4,61,15.25,0,57.1%,8.71,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,96%,0,0%,0,0%,
66,2018,2018-09-17,2,2,25.024,CHI,,SEA,W 24-17,*,14,10,83,8.30,0,71.4%,5.93,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,95%,0,0%,1,4%,
67,2018,2018-09-23,3,3,25.030,CHI,@,ARI,W 16-14,*,7,3,50,16.67,0,42.9%,7.14,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,93%,0,0%,0,0%,
68,2018,2018-09-30,4,4,25.037,CHI,,TAM,W 48-10,*,4,2,23,11.50,1,50.0%,5.75,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,53,87%,0,0%,0,0%,
69,2018,2018-10-14,5,6,25.051,CHI,@,MIA,L 28-31,*,6,5,64,12.80,1,83.3%,10.67,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,84%,0,0%,0,0%,
70,2018,2018-10-21,6,7,25.058,CHI,,NWE,L 31-38,*,5,1,4,4.00,0,20.0%,0.80,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,74%,0,0%,0,0%,
71,2018,2018-10-28,,8,,CHI,,NYJ,W 24-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,2018,2018-11-04,,9,,CHI,@,BUF,W 41-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,2018,2018-11-11,9,10,25.079,CHI,,DET,W 34-22,*,8,6,133,22.17,2,75.0%,16.63,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,54,95%,0,0%,3,11%,
74,2018,2018-11-18,10,11,25.086,CHI,,MIN,W 25-20,*,7,3,39,13.00,0,42.9%,5.57,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,91%,0,0%,2,9%,
75,2018,2018-11-22,11,12,25.090,CHI,@,DET,W 23-16,*,4,2,37,18.50,0,50.0%,9.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,88%,0,0%,0,0%,
76,2018,2018-12-02,12,13,25.100,CHI,@,NYG,L 27-30,*,9,5,79,15.80,0,55.6%,8.78,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,84%,0,0%,0,0%,
77,2018,2018-12-09,13,14,25.107,CHI,,LAR,W 15-6,*,8,5,42,8.40,0,62.5%,5.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,86%,0,0%,0,0%,
78,2018,2018-12-16,14,15,25.114,CHI,,GNB,W 24-17,*,7,3,54,18.00,0,42.9%,7.71,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,46,77%,0,0%,1,4%,
79,2018,2018-12-23,15,16,25.121,CHI,@,SFO,W 14-9,*,8,6,85,14.17,0,75.0%,10.63,1,9,9.00,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,44,69%,0,0%,0,0%,
