Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Rt,Yds,Y/Rt,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
1,2017,2017-09-10,,1,,GNB,,SEA,W 17-9,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2017,2017-09-17,2,2,22.289,GNB,@,ATL,L 23-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,0,0%,0,0%,8,29%,
3,2017,2017-09-24,3,3,22.296,GNB,,CIN,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,0,0%,0,0%,12,36%,
4,2017,2017-09-28,4,4,22.300,GNB,,CHI,W 35-14,,13,49,3.77,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,30,55%,0,0%,8,31%,
5,2017,2017-10-08,5,5,22.310,GNB,@,DAL,W 35-31,*,19,125,6.58,1,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,1,6,0,0,0,0,0,0,53,88%,0,0%,0,0%,
6,2017,2017-10-15,6,6,22.317,GNB,@,MIN,L 10-23,,13,41,3.15,0,4,1,1,1.00,0,25.0%,0.25,0,0,,0,,0,0,0,0,0,0,0,0,43,65%,0,0%,3,12%,
7,2017,2017-10-22,7,7,22.324,GNB,,NOR,L 17-26,*,17,131,7.71,1,5,3,7,2.33,0,60.0%,1.40,0,0,,0,,1,6,0,0,0,0,0,0,44,80%,0,0%,0,0%,
8,2017,2017-11-06,8,9,22.339,GNB,,DET,L 17-30,*,5,12,2.40,0,5,2,-1,-0.50,0,40.0%,-0.20,0,0,,0,,0,0,0,0,0,0,0,0,20,34%,0,0%,0,0%,
9,2017,2017-11-12,9,10,22.345,GNB,@,CHI,W 23-16,*,3,12,4.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,6,9%,0,0%,0,0%,
10,2017,2017-11-19,,11,,GNB,,BAL,L 0-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2017,2017-11-26,,12,,GNB,@,PIT,L 28-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,2017,2017-12-03,12,13,23.001,GNB,,TAM,W 26-20,,1,20,20.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,2,4%,0,0%,0,0%,
13,2017,2017-12-10,13,14,23.008,GNB,@,CLE,W 27-21,,4,-2,-0.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,8,11%,0,0%,0,0%,
14,2017,2017-12-17,14,15,23.015,GNB,@,CAR,L 24-31,,3,47,15.67,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0,0,0,0,0,0,26,38%,0,0%,1,4%,
15,2017,2017-12-23,15,16,23.021,GNB,,MIN,L 0-16,,3,13,4.33,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,
